rsCollisions jsCollisions pjwCollisions elfCollisions bkdrCollisions sdbmCollisions djbCollisions dekCollisions apCollisions 
0 0 0 0 0 0 0 0 0 0
10000 0 0 0 0 0 0 0 0 0
20000 0 0 2 2 0 0 0 0 0
30000 0 0 2 2 0 0 0 0 0
40000 1 0 2 2 0 0 2 0 0
50000 1 0 3 3 0 0 2 0 0
60000 2 0 3 3 0 0 2 0 0
70000 2 0 4 4 0 0 4 0 0
80000 2 0 6 6 0 0 4 1 0
90000 2 0 10 10 0 1 4 1 0
100000 2 0 16 16 0 1 4 2 0
110000 2 0 18 18 0 2 4 2 0
120000 2 1 27 27 0 2 7 3 0
130000 3 1 36 36 2 2 7 4 0
140000 3 2 39 39 2 2 8 4 0
150000 3 2 45 45 2 2 8 4 1
160000 4 2 53 53 2 3 9 6 3
170000 4 2 62 62 4 4 9 7 5
180000 4 2 72 72 4 4 9 8 5
190000 4 2 82 82 4 6 10 9 6
200000 4 3 96 96 4 6 10 9 6
210000 4 3 112 112 4 6 10 9 8
220000 6 3 120 120 4 6 11 9 8
230000 7 4 126 126 4 7 12 10 8
240000 7 5 141 141 5 7 13 14 9
250000 9 5 154 154 5 9 15 14 10
260000 10 5 169 169 5 9 16 14 10
270000 11 6 186 186 5 11 16 15 12
280000 11 6 200 200 6 12 17 16 12
290000 12 9 217 217 6 13 18 17 12
300000 13 10 234 234 6 13 19 19 12
310000 13 10 253 253 9 13 19 20 14
320000 13 11 263 263 10 13 19 23 14
330000 13 11 282 282 11 13 20 24 14
340000 14 12 301 301 11 15 20 28 16
350000 14 12 322 322 12 15 21 30 17
360000 15 12 344 344 13 17 21 33 17
370000 15 14 362 362 13 17 23 33 18
380000 15 14 377 377 14 18 24 35 18
390000 15 15 403 403 15 18 25 39 19
400000 17 15 427 427 15 18 25 40 21
410000 19 15 451 451 15 19 26 42 22
420000 19 17 475 475 15 19 27 43 23
430000 19 18 492 492 15 19 27 43 24
440000 19 19 521 521 16 20 27 43 25
450000 19 23 541 541 17 20 27 45 27
460000 22 24 565 565 18 20 28 46 29
470000 24 25 589 589 18 21 31 48 31
480000 24 27 615 615 21 21 31 50 32
490000 26 27 638 638 21 23 33 52 32
500000 28 28 662 662 21 23 33 56 32
510000 28 29 683 683 23 24 34 56 33
520000 28 30 706 706 25 24 36 57 37
530000 30 31 736 736 25 24 38 58 40
540000 30 31 766 766 28 26 42 59 40
550000 30 32 799 799 29 26 43 62 43
560000 32 36 837 837 29 27 45 67 44
570000 33 38 868 868 31 31 46 68 48
580000 34 40 897 897 32 36 46 71 49
590000 37 40 929 929 32 39 46 73 50
600000 40 41 972 972 33 40 49 77 53
610000 42 42 1009 1009 34 42 50 78 53
620000 43 45 1039 1039 35 42 52 81 57
630000 46 48 1070 1070 36 44 53 82 58
640000 47 50 1105 1105 38 45 53 84 58
650000 48 51 1141 1141 40 45 53 85 63
660000 49 51 1162 1162 40 45 56 89 65
670000 53 51 1191 1191 41 46 56 90 66
680000 53 52 1226 1226 43 46 56 91 67
690000 56 56 1251 1251 45 46 57 92 68
700000 57 59 1277 1277 46 46 58 96 73
710000 58 61 1317 1317 49 47 60 97 76
720000 59 64 1354 1354 50 50 63 98 77
730000 63 64 1384 1384 52 51 63 99 77
740000 64 66 1423 1423 56 52 66 103 78
750000 66 68 1464 1464 58 54 66 106 80
760000 67 68 1498 1498 60 55 66 107 82
770000 68 71 1549 1549 61 59 70 109 83
780000 69 72 1585 1585 61 59 72 110 84
790000 72 74 1625 1625 64 62 73 113 86
800000 74 76 1675 1675 65 63 76 115 89
810000 76 79 1712 1712 67 65 78 120 89
820000 79 84 1749 1749 71 66 80 123 90
830000 81 84 1783 1783 75 69 81 125 93
840000 81 86 1812 1812 76 71 84 128 94
850000 81 87 1861 1861 78 72 88 130 97
860000 84 89 1904 1904 80 73 91 134 100
870000 85 90 1950 1950 81 74 91 135 102
880000 86 91 1989 1989 81 76 94 136 104
890000 86 91 2029 2029 83 79 97 137 108
900000 89 94 2073 2073 83 81 100 139 115
910000 90 96 2116 2116 85 81 102 143 115
920000 90 97 2172 2172 87 82 102 149 117
930000 93 100 2214 2214 88 86 107 152 118
940000 98 104 2270 2270 89 87 108 157 121
950000 98 104 2309 2309 89 92 108 158 125
960000 102 105 2353 2353 91 95 110 162 127
970000 105 108 2381 2381 97 96 110 165 132
980000 105 112 2443 2443 104 96 118 170 135
990000 106 112 2488 2488 105 97 121 176 137
1000000 107 116 2550 2550 108 100 122 183 138
1010000 108 117 2601 2601 109 103 124 189 141
1020000 109 120 2644 2644 113 106 126 194 145
1030000 111 126 2712 2712 114 109 127 197 152
1040000 113 128 2765 2765 116 113 127 203 157
1050000 114 129 2818 2818 119 117 130 205 161
1060000 116 129 2870 2870 121 119 131 210 161
1070000 118 131 2922 2922 126 121 134 214 161
1080000 122 135 2974 2974 129 127 136 219 163
1090000 125 136 3023 3023 132 128 139 224 167
1100000 127 139 3079 3079 134 131 141 226 169
1110000 130 141 3119 3119 139 137 142 233 169
1120000 132 144 3164 3164 142 139 146 236 170
1130000 134 147 3213 3213 143 141 149 241 172
1140000 138 151 3273 3273 144 150 154 245 178
1150000 143 155 3328 3328 150 154 155 258 180
1160000 147 158 3392 3392 153 158 158 263 184
1170000 150 160 3443 3443 160 159 159 266 188
1180000 154 167 3516 3516 164 164 162 269 193
1190000 155 169 3573 3573 165 168 164 273 199
1200000 159 171 3631 3631 168 169 167 278 201
1210000 159 171 3701 3701 173 171 168 283 206
1220000 161 179 3755 3755 176 172 173 289 211
1230000 162 182 3820 3820 179 173 174 293 216
1240000 166 185 3891 3891 182 175 178 298 218
1250000 167 187 3935 3935 188 178 179 299 224
1260000 168 189 4005 4005 190 178 182 308 228
1270000 169 190 4076 4076 196 178 186 313 230
1280000 175 192 4143 4143 202 180 192 316 232
1290000 177 192 4214 4214 206 183 195 319 235
1300000 181 196 4277 4277 212 186 197 322 238
1310000 181 199 4346 4346 216 190 199 323 243
1320000 185 202 4407 4407 217 196 208 326 245
1330000 193 208 4482 4482 220 197 212 333 249
1340000 196 210 4549 4549 221 206 214 337 254
1350000 201 214 4614 4614 223 210 216 341 256
1360000 205 218 4673 4673 225 213 217 342 260
1370000 209 220 4738 4738 230 214 222 349 262
1380000 212 228 4797 4797 230 220 223 352 268
1390000 216 232 4864 4864 232 226 226 357 274
1400000 220 235 4946 4946 234 232 227 363 277
1410000 222 239 5018 5018 238 236 231 366 281
1420000 228 241 5080 5080 241 237 234 372 285
1430000 233 241 5168 5168 243 240 240 381 289
1440000 236 244 5228 5228 247 244 241 382 293
1450000 236 250 5301 5301 250 249 243 389 298
1460000 236 253 5373 5373 252 254 246 395 306
1470000 239 258 5453 5453 257 260 251 402 310
1480000 244 264 5533 5533 261 264 253 407 314
1490000 247 264 5594 5594 266 268 257 414 317
1500000 249 270 5661 5661 266 269 262 420 319
1510000 254 275 5729 5729 270 271 267 423 324
1520000 256 277 5812 5812 273 273 273 430 325
1530000 259 283 5890 5890 281 276 276 436 330
1540000 261 286 5961 5961 285 277 279 441 333
1550000 265 290 6040 6040 289 280 282 446 334
1560000 267 291 6124 6124 293 282 288 453 338
1570000 269 294 6195 6195 298 291 294 457 340
1580000 271 302 6285 6285 301 295 296 463 342
